Presentation Data
SampleTime, PercentMoisture
Time: 1469793532, Moistures: 0.26, 12.27, 48.30, 37.24, 20.04, 0.56, 1.09, Rain: 0.01
Time: 1469793537, Moistures: 0.47, 11.97, 47.91, 37.24, 20.32, 0.85, 0.65, Rain: 0.01
Time: 1469793542, Moistures: 0.23, 12.19, 48.30, 37.52, 20.32, 0.59, 0.79, Rain: 0.01
Time: 1469793547, Moistures: 0.26, 12.12, 48.30, 38.09, 19.61, 0.59, 0.79, Rain: 0.01
Time: 1469793552, Moistures: 0.29, 12.12, 48.15, 38.51, 20.46, 0.70, 0.73, Rain: 0.01
Time: 1469793557, Moistures: 0.32, 13.00, 49.15, 40.50, 22.01, 0.73, 0.85, Rain: 0.01
Time: 1469793562, Moistures: 0.35, 11.97, 48.45, 39.21, 20.46, 0.67, 0.79, Rain: 0.01
Time: 1469793567, Moistures: 0.29, 12.05, 48.30, 40.27, 20.74, 0.85, 0.70, Rain: 0.01
Time: 1469793572, Moistures: 0.44, 12.56, 49.61, 41.28, 21.17, 0.88, 0.85, Rain: 0.01
Time: 1469793577, Moistures: 0.23, 12.19, 48.38, 40.50, 20.04, 0.65, 0.79, Rain: 0.01
Time: 1469793582, Moistures: 0.65, 12.12, 48.92, 41.35, 22.58, 0.85, 0.73, Rain: 0.01
Time: 1469793587, Moistures: 0.26, 12.93, 48.92, 41.97, 24.55, 1.03, 0.91, Rain: 0.01
Time: 1469793592, Moistures: 0.35, 12.93, 49.30, 42.13, 21.17, 0.76, 1.06, Rain: 0.01
Time: 1469793597, Moistures: 0.32, 12.85, 48.45, 42.51, 22.58, 1.00, 0.85, Rain: 0.01
Time: 1469793602, Moistures: 0.67, 12.34, 49.07, 42.67, 21.73, 1.00, 0.82, Rain: 0.01
Time: 1469793607, Moistures: 0.26, 12.19, 48.53, 42.59, 20.88, 0.79, 1.03, Rain: 0.01
Time: 1469793612, Moistures: 0.41, 12.05, 48.15, 42.82, 21.17, 1.06, 0.88, Rain: 0.01
Time: 1469793617, Moistures: 0.23, 12.27, 48.38, 43.21, 20.60, 0.47, 0.91, Rain: 0.01
Time: 1469793622, Moistures: 0.38, 12.56, 49.46, 44.29, 22.86, 1.11, 1.17, Rain: 0.01
Time: 1469793627, Moistures: 0.23, 12.19, 48.22, 43.52, 20.88, 0.53, 0.97, Rain: 0.01
Time: 1469793632, Moistures: 0.26, 12.12, 48.38, 43.75, 20.46, 0.70, 0.88, Rain: 0.01
Time: 1469793637, Moistures: 0.26, 12.05, 48.53, 44.06, 21.17, 0.97, 0.97, Rain: 0.01
Time: 1469793642, Moistures: 0.56, 12.19, 48.84, 44.67, 22.01, 1.09, 0.97, Rain: 0.01
Time: 1469793647, Moistures: 0.59, 12.12, 48.76, 44.44, 21.17, 0.94, 0.91, Rain: 0.01
Time: 1469793652, Moistures: 0.65, 12.41, 49.38, 45.21, 22.43, 1.11, 1.03, Rain: 0.01
